ru,50pz05mr,50pz10mr,50pz15mr,100pz05mr,100pz10mr,100pz15mr,150pz05mr,150pz10mr,150pz15mr
0,0.6249,0.6327,0.6347,0.6337,0.6355,0.6372,0.6171,0.6336,0.6292
1,0.632,0.6303,0.6316,0.6266,0.6354,0.6309,0.6283,0.6262,0.6343
2,0.618,0.6299,0.6339,0.634,0.6235,0.6341,0.6339,0.6282,0.6362
3,0.6206,0.6202,0.6371,0.6338,0.6243,0.6287,0.6284,0.6352,0.6338
4,0.6275,0.6282,0.63,0.6328,0.6275,0.6349,0.6176,0.636,0.6352
5,0.6281,0.627,0.6231,0.6266,0.637,0.6291,0.6347,0.6276,0.6316
6,0.6214,0.6326,0.6303,0.6212,0.6263,0.6319,0.6245,0.6284,0.6334
7,0.6226,0.617,0.6303,0.6166,0.6308,0.6356,0.6282,0.6292,0.629
8,0.6229,0.6348,0.6346,0.6273,0.6254,0.6319,0.6372,0.6349,0.6313
9,0.618,0.6233,0.6356,0.6351,0.6356,0.6279,0.6364,0.6317,0.6339
10,0.6237,0.6343,0.6308,0.628,0.6324,0.6279,0.6055,0.6254,0.6281
11,0.6139,0.6236,0.626,0.6316,0.6365,0.6305,0.6198,0.6245,0.6289
12,0.6177,0.6276,0.6318,0.6368,0.6372,0.6365,0.6347,0.636,0.6216
13,0.621,0.6295,0.6337,0.6363,0.6223,0.6341,0.6294,0.6287,0.6234
14,0.6212,0.6287,0.6303,0.6329,0.6201,0.6295,0.6267,0.6347,0.6367
15,0.6104,0.6308,0.6251,0.6293,0.6351,0.6296,0.6292,0.6355,0.6328
16,0.613,0.6322,0.6214,0.6078,0.6293,0.6271,0.618,0.6244,0.6251
17,0.6336,0.6265,0.6353,0.6179,0.6355,0.6321,0.6093,0.6078,0.6302
18,0.6345,0.6329,0.6361,0.6194,0.6291,0.6262,0.6073,0.6363,0.6239
19,0.6241,0.6267,0.626,0.6285,0.6331,0.6225,0.6361,0.6357,0.6377
