run,50pz05mr,50pz10mr,50pz15mr,100pz05mr,100pz10mr,100pz15mr,150pz05mr,150pz10mr,150pz15mr
0,0.613,0.6525,0.6346,0.4967,0.6631,0.6307,0.578,0.6541,0.6634
1,0.5675,0.6314,0.6638,0.6268,0.6326,0.6475,0.629,0.6468,0.6689
2,0.6333,0.643,0.62,0.5368,0.618,0.6264,0.6386,0.621,0.6685
3,0.5899,0.624,0.636,0.5824,0.5709,0.6038,0.5514,0.6251,0.6694
4,0.5768,0.6336,0.6263,0.5866,0.618,0.6179,0.5987,0.6235,0.6664
5,0.6308,0.6298,0.5059,0.6571,0.6817,0.6324,0.5685,0.6361,0.6651
6,0.4893,0.6445,0.6732,0.5966,0.561,0.6793,0.6115,0.6574,0.6254
7,0.6009,0.6466,0.6612,0.62,0.6245,0.6627,0.6402,0.5939,0.6459
8,0.6246,0.6368,0.635,0.5618,0.625,0.6377,0.6392,0.6618,0.6567
9,0.5942,0.6024,0.6302,0.6024,0.6281,0.665,0.6224,0.6162,0.6615
10,0.5603,0.5547,0.6667,0.5547,0.631,0.6244,0.6308,0.6249,0.6527
11,0.5656,0.6617,0.6732,0.6422,0.6306,0.6308,0.6085,0.6603,0.6553
12,0.6024,0.62,0.6233,0.576,0.6281,0.6219,0.6221,0.6596,0.6587
13,0.62,0.5841,0.6631,0.5998,0.6654,0.6363,0.5863,0.6024,0.6546
14,0.6366,0.6627,0.5742,0.5372,0.6024,0.6579,0.59,0.6547,0.6582
15,0.6024,0.6281,0.6367,0.5471,0.634,0.6156,0.6164,0.5641,0.6189
16,0.548,0.6354,0.6314,0.6288,0.4985,0.6661,0.6362,0.6375,0.6401
17,0.4993,0.6658,0.6307,0.5349,0.6323,0.6366,0.5789,0.6485,0.6737
18,0.642,0.6759,0.6073,0.5926,0.6435,0.6261,0.5682,0.6442,0.6707
19,0.5383,0.618,0.5681,0.6509,0.6262,0.6097,0.5905,0.6173,0.6593
