run,50pz05mr,50pz10mr,50pz15mr,100pz05mr,100pz10mr,100pz15mr,150pz05mr,150pz10mr,150pz15mr
0,0.6241,0.6321,0.6332,0.6318,0.6301,0.6218,0.6287,0.6223,0.637
1,0.6384,0.6358,0.6357,0.6133,0.6332,0.6344,0.63,0.6299,0.6287
2,0.6183,0.6352,0.6326,0.6309,0.6338,0.6305,0.6317,0.6346,0.6357
3,0.6229,0.6263,0.6329,0.6344,0.635,0.6355,0.6306,0.6352,0.6345
4,0.6165,0.6318,0.6338,0.6304,0.6341,0.6337,0.6159,0.6353,0.6362
5,0.6291,0.6334,0.6308,0.5966,0.6234,0.6254,0.6202,0.6344,0.6335
6,0.6053,0.625,0.6372,0.6165,0.6199,0.6379,0.6288,0.6359,0.6329
7,0.6246,0.6284,0.6341,0.62,0.6294,0.6358,0.6232,0.636,0.6332
8,0.6029,0.6321,0.6214,0.623,0.6301,0.6228,0.6362,0.6225,0.6277
9,0.6224,0.6319,0.6314,0.6363,0.6307,0.6206,0.6095,0.6363,0.637
10,0.6285,0.6264,0.6354,0.6227,0.6164,0.629,0.6218,0.6364,0.6239
11,0.6234,0.6251,0.6302,0.6197,0.6326,0.6358,0.6119,0.6052,0.624
12,0.6305,0.6249,0.6288,0.6073,0.6361,0.6364,0.6264,0.6354,0.6268
13,0.6206,0.6349,0.6349,0.6329,0.6304,0.6297,0.6101,0.6321,0.634
14,0.6195,0.6279,0.6281,0.6058,0.64,0.6378,0.6319,0.6351,0.6362
15,0.6287,0.6335,0.6318,0.6329,0.6394,0.6277,0.6285,0.6358,0.6374
16,0.6256,0.6304,0.6293,0.6257,0.6353,0.6356,0.6304,0.6313,0.6368
17,0.6332,0.6258,0.6266,0.6238,0.6351,0.6359,0.6098,0.6277,0.6381
18,0.6079,0.6326,0.6262,0.6186,0.6174,0.6282,0.6324,0.6353,0.6293
19,0.6275,0.6214,0.6301,0.6248,0.6256,0.6268,0.6241,0.6364,0.6364
