run,NSGAII-150pz15mr,SPEA2-150pz15mr,SMSEMOA-150pz15mr
0,0.6705,0.6817,0.6634
1,0.6818,0.6819,0.6689
2,0.6647,0.6973,0.6685
3,0.6693,0.6801,0.6694
4,0.6818,0.6709,0.6664
5,0.6727,0.6368,0.6651
6,0.6556,0.6354,0.6254
7,0.6814,0.6805,0.6459
8,0.661,0.6805,0.6567
9,0.6575,0.6368,0.6615
10,0.6817,0.6801,0.6527
11,0.6393,0.6805,0.6553
12,0.6818,0.6817,0.6587
13,0.6724,0.6817,0.6546
14,0.6765,0.6759,0.6582
15,0.6627,0.6819,0.6189
16,0.6308,0.6759,0.6401
17,0.6818,0.6955,0.6737
18,0.6617,0.6354,0.6707
19,0.6657,0.6805,0.6593
