run,NSGAII-150pz15mr,SPEA2-150pz15mr,SMSEMOA-50pz15mr
0,0.6292,0.637,0.6351
1,0.6343,0.6287,0.6343
2,0.6362,0.6357,0.6304
3,0.6338,0.6345,0.6355
4,0.6352,0.6362,0.6348
5,0.6316,0.6335,0.6322
6,0.6334,0.6329,0.6365
7,0.629,0.6332,0.6298
8,0.6313,0.6277,0.6313
9,0.6339,0.637,0.6254
10,0.6281,0.6239,0.6348
11,0.6289,0.624,0.6231
12,0.6216,0.6268,0.6356
13,0.6234,0.634,0.6339
14,0.6367,0.6362,0.636
15,0.6328,0.6374,0.637
16,0.6251,0.6368,0.631
17,0.6302,0.6381,0.6257
18,0.6239,0.6293,0.6338
19,0.6377,0.6364,0.6248
