block_id,no_items,worth_week1,worth_week2,worth_week3
2443,6,52832.0,21284.0,20878.0
1412,5,44139.0,28017.0,22132.0
2128,6,43059.0,31673.0,20257.0
812,8,24390.0,25711.0,24485.0
1580,8,24222.0,32130.0,35780.0
358,7,24021.0,22366.0,15937.0
1143,10,23042.0,21018.0,17731.0
726,10,22796.0,21850.0,17850.0
1521,8,22157.0,18709.0,16513.0
2037,4,21899.0,23479.0,19040.0
1546,6,21763.0,22453.0,22030.0
2321,5,21421.0,14791.0,9233.0
861,4,21213.0,6604.0,6451.0
63,7,20634.0,21917.0,18996.0
560,8,20618.0,11745.0,7465.0
839,7,20051.0,10929.0,8954.0
388,8,19634.0,25242.0,20135.0
1121,10,19236.0,12074.0,9659.0
487,8,18077.0,36402.0,22209.0
1850,1,18034.0,13788.0,6196.0
2223,10,17892.0,13220.0,7912.0
553,8,17447.0,16641.0,25349.0
2574,10,17353.0,16316.0,12594.0
2254,4,16734.0,14680.0,16437.0
2306,3,15878.0,13439.0,10662.0
442,10,15419.0,9672.0,6416.0
773,10,15103.0,10965.0,8390.0
1869,9,15025.0,12573.0,7282.0
2159,5,14971.0,12125.0,7938.0
387,8,14752.0,15163.0,8368.0
301,8,14711.0,7885.0,6143.0
314,10,14610.0,16311.0,12964.0
96,1,14524.0,12292.0,8711.0
2478,10,14404.0,13342.0,12808.0
1097,9,14329.0,14407.0,12735.0
2010,6,14280.0,9360.0,7470.0
505,10,14133.0,8238.0,7770.0
846,8,14079.0,12276.0,13525.0
2671,8,14022.0,20468.0,24682.0
2335,2,13990.0,13626.0,18500.0
2488,9,13989.0,11648.0,8001.0
2503,4,13927.0,10263.0,7220.0
2233,8,13693.0,13576.0,11418.0
1879,9,13583.0,13232.0,13388.0
851,10,13464.0,8276.0,6863.0
2449,6,13374.0,4932.0,4855.0
1403,10,13286.0,10268.0,8168.0
1524,8,13136.0,9858.0,7780.0
2145,10,12950.0,9511.0,7706.0
2359,1,12692.0,10745.0,8409.0
2048,9,12646.0,9167.0,8794.0
2649,6,12616.0,17079.0,15505.0
9,6,12547.0,9949.0,6436.0
2026,7,12500.0,13166.0,6248.0
1022,7,12438.0,10462.0,10216.0
2246,7,12355.0,13592.0,13419.0
962,10,12290.0,12281.0,17980.0
1473,6,12281.0,11657.0,8519.0
2456,5,12276.0,11678.0,8172.0
2290,10,12251.0,11474.0,10156.0
428,9,12060.0,15860.0,12023.0
1971,9,12056.0,9961.0,8764.0
1747,10,11920.0,9940.0,11050.0
1477,10,11916.0,11494.0,8243.0
1668,5,11894.0,12992.0,10053.0
2268,10,11720.0,17666.0,16282.0
1476,10,11603.0,8975.0,5957.0
1710,10,11393.0,8004.0,7468.0
498,10,11212.0,19229.0,20897.0
2571,10,11203.0,15744.0,11545.0
1551,5,11200.0,15777.0,15788.0
294,7,11070.0,14467.0,13115.0
1221,9,11057.0,10879.0,10808.0
1679,4,10894.0,12443.0,14404.0
2303,10,10884.0,9362.0,8632.0
2527,9,10847.0,9604.0,15326.0
990,9,10846.0,8067.0,5466.0
2446,6,10798.0,9600.0,8283.0
1572,6,10752.0,8075.0,6573.0
1124,9,10615.0,37558.0,8874.0
1650,4,10601.0,9376.0,7083.0
1840,9,10502.0,5423.0,5882.0
1441,8,10462.0,6778.0,6454.0
2481,5,10316.0,11117.0,15614.0
1950,10,10256.0,11704.0,4229.0
24,8,10226.0,11270.0,11402.0
1495,10,10196.0,8484.0,7599.0
2666,10,10180.0,10396.0,9582.0
1347,10,10141.0,10021.0,5915.0
1534,10,10075.0,6738.0,4680.0
68,10,9994.0,7566.0,6630.0
1554,10,9968.0,7452.0,11417.0
1,7,9964.0,8393.0,8625.0
1256,7,9960.0,11419.0,4756.0
2389,8,9918.0,8800.0,8749.0
2410,6,9907.0,9687.0,6602.0
303,7,9879.0,8564.0,7139.0
2058,8,9840.0,10126.0,7606.0
2676,7,9816.0,6103.0,5690.0
137,8,9773.0,9794.0,14080.0
2004,10,9756.0,13759.0,10642.0
2735,10,9750.0,9422.0,5518.0
2433,9,9703.0,23342.0,14194.0
2056,3,9697.0,7576.0,6165.0
173,10,9596.0,9925.0,7210.0
2734,9,9560.0,9426.0,14289.0
118,3,9556.0,6749.0,4862.0
2106,8,9519.0,17111.0,4802.0
711,8,9512.0,7543.0,4315.0
2555,8,9451.0,7423.0,6906.0
1474,7,9420.0,28061.0,14224.0
1103,8,9392.0,6718.0,4784.0
1105,5,9381.0,7554.0,6362.0
1964,9,9311.0,7687.0,9433.0
1283,9,9307.0,6483.0,6936.0
2312,8,9245.0,8295.0,8515.0
2510,9,9228.0,8520.0,7441.0
651,9,9211.0,7292.0,4972.0
501,10,9197.0,9412.0,8338.0
2269,8,9168.0,6732.0,5928.0
1575,10,9155.0,7281.0,5062.0
1080,4,9151.0,8706.0,6555.0
2706,10,9121.0,12880.0,9833.0
2749,6,9091.0,7973.0,4926.0
1458,6,9089.0,7764.0,5979.0
2344,10,9077.0,8507.0,5584.0
1422,8,9041.0,8430.0,7738.0
1756,6,9016.0,8724.0,6218.0
1768,6,9014.0,8032.0,9318.0
716,8,8981.0,24889.0,9124.0
242,8,8893.0,16199.0,23915.0
2187,10,8844.0,6440.0,12218.0
1446,10,8814.0,11735.0,7177.0
2000,5,8791.0,7112.0,5921.0
530,10,8765.0,7394.0,4101.0
344,8,8749.0,7694.0,8796.0
2331,7,8668.0,13154.0,5484.0
2289,10,8648.0,7450.0,7666.0
1632,8,8601.0,7474.0,7587.0
2207,10,8591.0,9682.0,8012.0
2665,10,8587.0,10873.0,8302.0
2356,10,8586.0,10778.0,11269.0
1826,10,8487.0,8189.0,6322.0
2115,10,8486.0,6192.0,4178.0
1393,10,8477.0,7162.0,6075.0
1438,9,8462.0,12694.0,6483.0
341,8,8446.0,8563.0,7107.0
399,4,8429.0,4976.0,2471.0
1073,10,8372.0,8238.0,7140.0
2656,9,8367.0,6851.0,5058.0
2364,7,8353.0,12288.0,7383.0
2717,6,8334.0,9394.0,5983.0
2754,8,8327.0,7044.0,5515.0
2514,7,8326.0,7832.0,5842.0
2005,6,8307.0,7412.0,6169.0
1274,9,8306.0,10147.0,6799.0
2123,8,8256.0,6840.0,8282.0
2593,7,8243.0,9434.0,7206.0
2523,10,8236.0,10430.0,11888.0
184,10,8208.0,6502.0,5801.0
1212,9,8197.0,7407.0,6605.0
2028,9,8179.0,7447.0,7983.0
1260,5,8172.0,7109.0,5661.0
2613,10,8166.0,6980.0,5378.0
1183,9,8155.0,7306.0,7436.0
2133,8,8150.0,7329.0,6550.0
2607,5,8142.0,10796.0,11188.0
1797,7,8140.0,6289.0,4751.0
2770,4,8052.0,10864.0,8483.0
194,10,8029.0,6724.0,5830.0
1179,4,8017.0,7267.0,4321.0
2578,5,7977.0,6874.0,6168.0
677,7,7972.0,9605.0,8993.0
32,7,7969.0,5633.0,4225.0
2566,6,7953.0,8717.0,9599.0
2646,8,7941.0,5230.0,4484.0
1033,9,7870.0,7390.0,10004.0
617,5,7845.0,6357.0,3344.0
933,9,7765.0,6579.0,5167.0
1994,10,7753.0,7280.0,6537.0
2511,9,7721.0,6893.0,4506.0
1719,7,7715.0,5994.0,6311.0
2314,7,7634.0,5013.0,4503.0
1738,7,7617.0,24737.0,15041.0
1954,8,7617.0,6153.0,5929.0
2582,8,7614.0,8598.0,8422.0
2195,9,7606.0,8195.0,8198.0
2526,10,7603.0,7071.0,7168.0
786,9,7595.0,7359.0,5161.0
1361,8,7593.0,5974.0,4359.0
1489,7,7586.0,7436.0,6797.0
2590,5,7582.0,6853.0,5345.0
1678,8,7581.0,11633.0,5858.0
1408,8,7580.0,4782.0,3018.0
2543,9,7550.0,13194.0,13458.0
2300,10,7499.0,6657.0,6306.0
1331,10,7498.0,6337.0,8280.0
590,3,7445.0,5845.0,5138.0
226,7,7440.0,9283.0,9955.0
569,10,7434.0,26130.0,31482.0
1830,10,7429.0,10141.0,4879.0
1051,10,7395.0,5429.0,3106.0
2700,6,7395.0,8577.0,6755.0
439,1,7393.0,3736.0,2837.0
2149,4,7389.0,6767.0,4584.0
1753,5,7357.0,7159.0,12723.0
1593,5,7356.0,5960.0,6239.0
315,8,7356.0,6796.0,3020.0
2082,9,7330.0,8626.0,21433.0
1562,7,7330.0,11271.0,6876.0
1418,6,7326.0,6076.0,4856.0
2519,5,7325.0,6286.0,6582.0
941,10,7317.0,14282.0,15222.0
1989,7,7294.0,7867.0,5905.0
2597,9,7280.0,6325.0,5249.0
938,7,7272.0,8052.0,10519.0
1836,5,7272.0,9086.0,7562.0
546,9,7259.0,6086.0,3732.0
2320,5,7258.0,7546.0,5679.0
2625,5,7251.0,7349.0,6980.0
2163,9,7245.0,22287.0,20056.0
216,7,7240.0,8162.0,7282.0
985,3,7239.0,5319.0,4333.0
2635,7,7238.0,5877.0,3481.0
2387,10,7225.0,7412.0,8183.0
367,5,7220.0,5844.0,5378.0
2764,4,7218.0,5516.0,5380.0
1369,7,7213.0,8401.0,7314.0
207,10,7200.0,14560.0,11157.0
918,9,7174.0,5630.0,4844.0
1577,8,7171.0,8121.0,4310.0
478,10,7168.0,6949.0,5590.0
