50pz05mr,50pz10mr,50pz15mr,100pz05mr,100pz10mr,100pz15mr,150pz05mr,150pz10mr,150pz15mr
0,0.6341,0.6286,0.6351,0.6065,0.6407,0.6318,0.6293,0.6312,0.6328
1,0.602,0.6318,0.6343,0.6241,0.621,0.6297,0.626,0.634,0.6155
2,0.6269,0.6223,0.6304,0.616,0.6355,0.6305,0.6296,0.6376,0.626
3,0.6207,0.6268,0.6355,0.6246,0.6255,0.6294,0.6049,0.6361,0.6309
4,0.6323,0.6226,0.6348,0.6222,0.6315,0.6299,0.6179,0.6317,0.6358
5,0.6178,0.633,0.6322,0.6287,0.634,0.635,0.6265,0.6341,0.6182
6,0.6255,0.6301,0.6365,0.629,0.6355,0.6284,0.6272,0.633,0.6231
7,0.6248,0.6376,0.6298,0.6257,0.629,0.6264,0.6313,0.6272,0.6294
8,0.629,0.6352,0.6313,0.6205,0.617,0.6281,0.6311,0.6197,0.6287
9,0.6204,0.6353,0.6254,0.6334,0.6332,0.6344,0.6223,0.6307,0.6347
10,0.6281,0.6343,0.6348,0.6269,0.6142,0.6265,0.6334,0.6331,0.6379
11,0.6275,0.6319,0.6231,0.6266,0.6362,0.6303,0.6164,0.6191,0.6165
12,0.6292,0.6338,0.6356,0.6183,0.625,0.6323,0.6284,0.6343,0.6313
13,0.6294,0.6278,0.6339,0.6272,0.6298,0.6257,0.6118,0.6306,0.6204
14,0.6277,0.6213,0.636,0.6208,0.6335,0.6217,0.6255,0.6316,0.6261
15,0.6343,0.6348,0.637,0.6256,0.6353,0.6277,0.629,0.6326,0.6357
16,0.6315,0.6188,0.631,0.6224,0.6199,0.635,0.6229,0.6249,0.6292
17,0.6346,0.6344,0.6257,0.626,0.6275,0.6327,0.6191,0.6366,0.6297
18,0.6275,0.629,0.6338,0.6198,0.6302,0.6276,0.6107,0.6315,0.6347
19,0.6347,0.6249,0.6248,0.6156,0.6347,0.6228,0.6226,0.6233,0.6354
