nfe,sales,nblocks,sales_norm,nb_norm,bids,elapsed,hv,PF
1050000,100319,5,0.832,0.0,1143 726 1121 2223 2574 ,30115,0.6987,True
1050000,185355,6,0.549,0.1,2443 2128 812 1143 726 1121 ,40693,0.6759,True
1050000,235705,7,0.381,0.2,2443 1412 2128 812 1580 358 1143 ,45434,0.6281,True
1050000,256325,8,0.312,0.3,2443 1412 2128 812 1580 358 2037 1546 ,45433,0.6281,True
1050000,274017,9,0.253,0.4,2443 1412 2128 812 1580 358 2037 2321 1850 ,45433,0.6281,True
1050000,288333,10,0.206,0.5,2443 1412 2128 812 1580 358 2037 861 1850 96 ,45433,0.6281,True
1050000,301410,11,0.162,0.6,2443 1412 2128 812 358 2037 2321 861 1850 2306 96 ,45433,0.6281,True
1050000,312773,12,0.124,0.7,2443 1412 2128 358 2037 1546 2321 861 1850 2306 96 2335 ,45670,0.6368,True
1050000,320805,13,0.0969,0.8,2443 1412 2128 812 2037 2321 861 1850 2254 2306 96 2335 2359 ,45233,0.6366,True
1050000,321236,14,0.096,0.9,2443 1412 2128 2037 2321 861 1850 2254 2306 96 2335 2503 2359 1679 ,59088,0.6818,True
