nfe,sales,dist,sales_norm,dist_norm,zipcodes,elapsed,hv,PF
1050000,820510,42956.52,0.679,0.235,45768 79227 24226 79594 82256 38448 21529 52382 88097 88289 12527 83115 3042 78078 46562 ,134547,0.6361,True
1050000,828927,42949.0,0.6709999999999999,0.235,45770 79227 24159 79639 88281 83026 82256 38448 21529 52382 88097 12527 3042 78078 46562 ,186861,0.6378,True
1050000,838970,42944.0,0.6609999999999999,0.235,79098 45770 24159 79639 88281 83064 82256 21529 52382 88097 12527 3042 78078 38479 46562 ,1573510,0.6407,True
1050000,853070,42922.0,0.647,0.23600000000000002,79299 45770 24106 79639 88281 83064 82256 21529 52382 88097 12527 3042 78078 38479 46562 ,192192,0.64,True
1050000,860152,42886.0,0.64,0.237,79299 45770 24106 79639 88281 38442 83064 82256 21529 52382 88097 12527 3042 78078 46562 ,192192,0.64,True
1050000,863384,42847.0,0.637,0.23800000000000002,79098 45770 24106 79594 88281 82256 38448 21529 52382 88097 12527 83115 3042 78078 46562 ,202837,0.637,True
1050000,863957,42846.0,0.636,0.23800000000000002,79299 45768 24106 79594 88281 38442 83064 82256 21529 52382 88097 12527 3042 78078 46562 ,185122,0.6394,True
1050000,865944,42841.0,0.634,0.239,79098 45770 24106 79639 88281 38442 83064 82256 21529 52382 88097 12527 3042 78078 46562 ,192192,0.64,True
1050000,945156,42823.0,0.555,0.239,42349 45768 79227 24159 79639 88281 83064 82256 21529 52382 88097 12527 3042 38479 46562 ,149531,0.6357,True
1050000,946710,42820.98,0.5529999999999999,0.239,42349 45768 79285 24159 79639 88281 83064 82256 52382 88097 21526 12527 3042 38479 46562 ,174803,0.637,True
1050000,951549,42813.0,0.5479999999999999,0.24,42349 45770 79294 24159 79639 88281 83064 82256 21529 52382 88097 12527 3042 38479 46562 ,1573510,0.6407,True
1050000,954493,42805.16,0.546,0.24,42349 45768 79285 24159 79639 88281 83064 82256 38448 21529 52382 88097 12527 3042 46562 ,174803,0.637,True
1050000,957013,42782.27,0.5429999999999999,0.24100000000000002,42349 45768 79285 24159 79639 88281 38442 83064 82256 21529 52382 88097 12527 3042 46562 ,174803,0.637,True
1050000,958631,42778.0,0.541,0.24100000000000002,42349 45770 79294 24159 79639 88281 38442 83064 82256 21529 52382 88097 12527 3042 46562 ,1573510,0.6407,True
1050000,959336,42769.41,0.541,0.24100000000000002,42349 45770 79285 79594 24159 88281 83064 82256 21529 52382 88097 12527 3042 38479 46562 ,122764,0.6364,True
1050000,961416,42764.0,0.539,0.24100000000000002,42117 79299 45770 24161 79639 88281 83064 82256 21529 52382 88097 12527 3053 38479 46562 ,1550179,0.6315,True
1050000,962737,42760.71,0.537,0.24100000000000002,42349 79299 45768 79594 24159 88281 83064 82256 21529 52382 88097 12527 3042 38479 46562 ,131032,0.6347,True
1050000,964859,42758.0,0.535,0.24100000000000002,42117 45770 79285 24106 79639 88281 83064 82256 21529 52382 88097 12527 3042 38479 46562 ,241196,0.6306,True
1050000,970942,42757.73,0.529,0.24100000000000002,42349 79299 45768 24161 79639 88281 83064 82256 38448 21529 52382 88097 12527 3042 46562 ,134880,0.6337,True
1050000,976741,42753.0,0.523,0.242,42349 79299 45770 24106 79639 88281 82256 38448 21529 52382 88097 12527 83115 3042 46562 ,211780,0.6357,True
1050000,978824,42734.0,0.521,0.242,42349 79299 45770 24106 79639 88281 83064 82256 21529 52382 88097 12527 3042 38479 46562 ,192191,0.64,True
1050000,979261,42730.0,0.521,0.242,42349 79299 45770 24106 79639 88281 38442 82256 21529 52382 88097 12527 83115 3042 46562 ,211780,0.6357,True
1050000,980586,42725.62,0.519,0.242,42349 79299 45768 24106 79639 88281 83064 82256 38448 21529 52382 88097 12527 3042 46562 ,134879,0.6337,True
1050000,983386,42721.0,0.517,0.243,42349 79299 45770 24106 79639 88281 83064 82256 38448 21529 52382 88097 12527 3042 46562 ,217550,0.6354,True
1050000,985906,42698.0,0.514,0.243,42349 79299 45770 24106 79639 88281 38442 83064 82256 21529 52382 88097 12527 3042 46562 ,192191,0.64,True
1050000,987191,42682.0,0.513,0.244,42349 79299 45768 24106 79594 88281 83064 82256 38448 21529 52382 88097 12527 3042 46562 ,1138672,0.635,True
